#NVAR: 8
#VARNAMES: ROW  MJD Duration PWV PWV_ERR Pressure Temp Tdelay

# Suominet file: CTIO_2013global.plt 
ROW: 20130810/2245  56514.94792  30  2.3  0.5  781.0  13.1  1796.1 
ROW: 20130810/2315  56514.96875  30  2.1  0.5  781.0  13.3  1795.0 
ROW: 20130810/2344  56514.98958  30  1.8  0.9  781.0  13.2  1792.9 
ROW: 20130811/0015  56515.01042  30  3.1  0.8  781.0  13.4  1801.6 
ROW: 20130811/0045  56515.03125  30  2.1  0.6  781.0  13.5  1795.3 
ROW: 20130811/0114  56515.05208  30  1.3  0.7  781.3  12.7  1790.5 
ROW: 20130811/0145  56515.07292  30  2.2  0.5  782.0  12.8  1798.2 
ROW: 20130811/0215  56515.09375  30  1.9  0.4  781.7  13.5  1795.6 
ROW: 20130811/0244  56515.11458  30  1.8  0.5  781.0  13.0  1793.4 
ROW: 20130811/0315  56515.13542  30  1.2  0.5  781.0  12.8  1789.3 
ROW: 20130811/0345  56515.15625  30  1.3  0.6  781.3  13.0  1790.7 
ROW: 20130811/0414  56515.17708  30  1.4  1.0  782.0  12.6  1793.2 
ROW: 20130811/0445  56515.19792  30  1.9  1.1  782.0  12.3  1796.3 
ROW: 20130811/0515  56515.21875  30  2.4  0.5  781.6  12.0  1798.5 
ROW: 20130811/0544  56515.23958  30  2.2  0.5  781.1  12.2  1796.2 
ROW: 20130811/0615  56515.26042  30  1.8  0.8  781.0  12.5  1793.0 
ROW: 20130811/0645  56515.28125  30  1.5  0.9  781.0  12.7  1791.3 
ROW: 20130811/0714  56515.30208  30  2.1  0.5  781.0  12.9  1795.3 
ROW: 20130811/0745  56515.32292  30  2.4  0.5  780.3  12.0  1795.3 
ROW: 20130811/0815  56515.34375  30  2.3  0.4  780.1  12.3  1794.5 
ROW: 20130811/0844  56515.36458  30  1.8  0.4  781.0  12.0  1793.2 
ROW: 20130811/0915  56515.38542  30  1.9  0.4  780.4  12.5  1792.7 
ROW: 20130811/0945  56515.40625  30  2.6  0.4  780.0  12.0  1795.8 
ROW: 20130811/1014  56515.42708  30  2.8  0.5  780.0  11.5  1797.2 
ROW: 20130811/1045  56515.44792  30  2.7  0.5  780.8  11.4  1798.6 
ROW: 20130811/1115  56515.46875  30  3.0  0.4  781.0  11.8  1800.8 
ROW: 20130811/1144  56515.48958  30  4.4  0.4  781.0  12.1  1809.7 
ROW: 20130811/1215  56515.51042  30  5.1  0.5  781.0  12.5  1814.2 
ROW: 20130811/1245  56515.53125  30  4.7  0.4  782.0  13.0  1813.8 
ROW: 20130811/1314  56515.55208  30  4.5  0.7  782.0  12.9  1812.3 
ROW: 20130811/1345  56515.57292  30  4.2  0.7  782.0  12.7  1811.0 
ROW: 20130811/1415  56515.59375  30  5.0  0.4  782.0  12.8  1815.7 
ROW: 20130811/1444  56515.61458  30  5.0  0.4  782.0  12.4  1815.6 
ROW: 20130811/1515  56515.63542  30  5.0  0.4  782.0  12.5  1815.7 
ROW: 20130811/1545  56515.65625  30  4.4  0.8  782.0  13.7  1812.0 
